tipo_post;post_id;post_link;link;link_domain
link;71339054219_10152225916504220;https://www.facebook.com/71339054219/posts/10152225916504220;http://canchallena.lanacion.com.ar/1700634-la-historia-completa-del-pase-de-angel-di-maria-a-rosario-central-por-26-pelotas-de-futbol-cuando-era-un-nino?utm_source=FB-LN&utm_medium=Parti&utm_campaign=1700634;canchallena.lanacion.com.ar
link;71339054219_10152225918774220;https://www.facebook.com/71339054219/posts/10152225918774220;http://www.lanacion.com.ar/1704945-el-picoteo-es-una-epidemia-el-70-siente-deseo-de-comer-entre-horas?utm_source=FB&utm_medium=Parti&utm_campaign=1704945;lanacion.com.ar
link;71339054219_10152225921989220;https://www.facebook.com/71339054219/posts/10152225921989220;http://www.lanacion.com.ar/1705095-primera-guerra-mundial?utm_source=FB&utm_medium=Parti&utm_campaign=1705095;lanacion.com.ar
link;71339054219_10152225923974220;https://www.facebook.com/71339054219/posts/10152225923974220;http://www.lanacion.com.ar/1704854-paraiso-de-la-clase-media-dinamarca-el-pais-donde-apenas-existe-la-desigualdad?utm_source=FB&utm_medium=Parti&utm_campaign=1704854;lanacion.com.ar
link;71339054219_10152226405359220;https://www.facebook.com/71339054219/posts/10152226405359220;http://a.ln.com.ar/1qSsWce;a.ln.com.ar
photo;71339054219_10152227566829220;https://www.facebook.com/71339054219/posts/10152227566829220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10152227564569220/?type=3;facebook.com
photo;71339054219_10152227850559220;https://www.facebook.com/71339054219/posts/10152227850559220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10152227850169220/?type=3;facebook.com
link;71339054219_10152229794749220;https://www.facebook.com/71339054219/posts/10152229794749220;http://canchallena.lanacion.com.ar/1705504-holanda-vs-mexico-octavos-de-final-copa-del-mundo-2014?utm_source=TW&utm_medium=Cali&utm_campaign=1705504;canchallena.lanacion.com.ar
link;71339054219_10152230438234220;https://www.facebook.com/71339054219/posts/10152230438234220;http://canchallena.lanacion.com.ar/1705505-costa-rica-vs-grecia-octavos-de-final-copa-del-mundo-2014?utm_source=FB&utm_medium=Cali&utm_campaign=1705505;canchallena.lanacion.com.ar
link;71339054219_10153060001854220;https://www.facebook.com/71339054219/posts/10153060001854220;http://www.lanacion.com.ar/1809506-buena-epoca-para-la-carne-de-cerdo?utm_source=FB&utm_medium=Cali&utm_campaign=1809506;lanacion.com.ar
photo;71339054219_10153099210109220;https://www.facebook.com/71339054219/posts/10153099210109220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153099210109220/?type=3;facebook.com
photo;71339054219_10153111077589220;https://www.facebook.com/71339054219/posts/10153111077589220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153111077589220/?type=3;facebook.com
photo;71339054219_10153111202204220;https://www.facebook.com/71339054219/posts/10153111202204220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153111202204220/?type=3;facebook.com
link;71339054219_10153111966014220;https://www.facebook.com/71339054219/posts/10153111966014220;http://a.ln.com.ar/1IEFImO;a.ln.com.ar
link;71339054219_10153112421459220;https://www.facebook.com/71339054219/posts/10153112421459220;http://a.ln.com.ar/1IEzfZe;a.ln.com.ar
photo;71339054219_10153112539184220;https://www.facebook.com/71339054219/posts/10153112539184220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112539184220/?type=3;facebook.com
link;71339054219_10153112542479220;https://www.facebook.com/71339054219/posts/10153112542479220;http://a.ln.com.ar/1OKhckC;a.ln.com.ar
photo;71339054219_10153112546124220;https://www.facebook.com/71339054219/posts/10153112546124220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112546124220/?type=3;facebook.com
photo;71339054219_10153112546274220;https://www.facebook.com/71339054219/posts/10153112546274220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153112546274220/?type=3;facebook.com
link;71339054219_10153112561464220;https://www.facebook.com/71339054219/posts/10153112561464220;http://a.ln.com.ar/1KLy0Xw;a.ln.com.ar
link;71339054219_10153112604969220;https://www.facebook.com/71339054219/posts/10153112604969220;http://a.ln.com.ar/1KLvLUm;a.ln.com.ar
link;71339054219_10153112679494220;https://www.facebook.com/71339054219/posts/10153112679494220;http://a.ln.com.ar/1MHjwLs;a.ln.com.ar
link;71339054219_10153112734214220;https://www.facebook.com/71339054219/posts/10153112734214220;http://a.ln.com.ar/1IGbUGr;a.ln.com.ar
link;71339054219_10153112744554220;https://www.facebook.com/71339054219/posts/10153112744554220;http://a.ln.com.ar/1MHilvw;a.ln.com.ar
